0,aaron,49,49
1,abbey,35,119
2,abbie,19,176
3,abby,30,296
4,abdul,40,496
5,abe,8,544
6,abel,20,684
7,abigail,41,1012
8,abraham,44,1408
9,abram,35,1758
10,ada,6,1824
11,adah,14,1992
12,adalberto,78,3006
13,adaline,46,3650
14,adam,19,3935
15,adan,20,4255
16,addie,23,4646
17,adela,23,5060
18,adelaida,37,5763
19,adelaide,41,6583
20,adele,27,7150
21,adelia,32,7854
22,adelina,46,8912
23,adeline,50,10112
24,adell,34,10962
25,adella,35,11872
26,adelle,39,12925
27,adena,25,13625
28,adina,29,14466
29,adolfo,53,16056
30,adolph,56,17792
31,adria,33,18848
32,adrian,47,20399
33,adriana,48,22031
34,adriane,52,23851
35,adrianna,62,26083
36,adrianne,66,28525
37,adrien,51,30463
38,adriene,56,32647
39,adrienne,70,35447
40,afton,56,37743
41,agatha,38,39339
42,agnes,46,41317
43,agnus,62,44045
44,agripina,75,47420
45,agueda,39,49214
46,agustin,91,53491
47,agustina,92,57907
48,ahmad,27,59230
49,ahmed,31,60780
50,ai,10,61290
51,aida,15,62070
52,aide,19,63077
53,aiko,36,65021
54,aileen,46,67551
55,ailene,46,70127
56,aimee,33,72008
57,aisha,38,74212
58,aja,12,74920
59,akiko,47,77740
60,akilah,42,80302
61,al,13,81108
62,alaina,38,83502
63,alaine,42,86190
64,alan,28,88010
65,alana,29,89924
66,alane,33,92135
67,alanna,43,95059
68,alayna,54,98785
69,alba,16,99905
70,albert,58,104023
71,alberta,59,108271
72,albertha,67,113162
73,albertina,82,119230
74,albertine,86,125680
75,alberto,73,131228
76,albina,39,134231
77,alda,18,135635
78,alden,36,138479
79,aldo,32,141039
80,alease,43,144522
81,alec,21,146244
82,alecia,31,148817
83,aleen,37,151925
84,aleida,32,154645
85,aleisha,55,159375
86,alejandra,66,165117
87,alejandrina,89,172949
88,alejandro,80,180069
89,alena,33,183039
90,alene,37,186406
91,alesha,46,190638
92,aleshia,55,195753
93,alesia,47,200171
94,alessandra,94,209101
95,aleta,39,212845
96,aletha,47,217404
97,alethea,52,222500
98,alethia,56,228044
99,alex,42,232244
100,alexa,43,236587
101,alexander,84,245155
102,alexandra,80,253395
103,alexandria,89,262651
104,alexia,52,268111
105,alexis,70,275531
106,alfonso,82,284305
107,alfonzo,89,293917
108,alfred,46,298931
109,alfreda,47,304101
110,alfredia,56,310317
111,alfredo,61,317149
112,ali,22,319635
113,alia,23,322257
114,alica,26,325247
115,alice,30,328727
116,alicia,35,332822
117,alida,27,336008
118,alina,37,340411
119,aline,41,345331
120,alisa,42,350413
121,alise,46,356025
122,alisha,50,362175
123,alishia,59,369491
124,alisia,51,375866
125,alison,70,384686
126,alissa,61,392433
127,alita,43,397937
128,alix,46,403871
129,aliza,49,410241
130,alla,26,413647
131,allan,40,418927
132,alleen,49,425444
133,allegra,56,432948
134,allen,44,438888
135,allena,45,445008
136,allene,49,451721
137,allie,39,457103
138,alline,53,464470
139,allison,82,475950
140,allyn,64,484974
141,allyson,98,498890
142,alma,27,502751
143,almeda,36,507935
144,almeta,52,515475
145,alona,43,521753
146,alonso,76,532925
147,alonzo,83,545209
148,alpha,38,550871
149,alphonse,90,564371
150,alphonso,100,579471
151,alta,34,584639
152,altagracia,73,595808
153,altha,42,602276
154,althea,47,609561
155,alton,62,619233
156,alva,36,624885
157,alvaro,69,635787
158,alvera,59,645168
159,alverta,79,657808
160,alvin,58,667146
161,alvina,59,676704
162,alyce,46,684202
163,alycia,51,692566
164,alysa,58,702136
165,alyse,62,712428
166,alysha,66,723450
167,alysia,67,734706
168,alyson,86,749240
169,alyssa,77,762330
170,amada,20,765750
171,amado,34,771598
172,amal,27,776269
173,amalia,37,782707
174,amanda,34,788657
175,amber,39,795521
176,amberly,76,808973
177,ambrose,73,821967
178,amee,24,826263
179,amelia,41,833643
180,america,50,842693
181,ami,23,846879
182,amie,28,852003
183,amiee,33,858075
184,amina,38,865105
185,amira,42,872917
186,ammie,41,880584
187,amos,48,889608
188,amparo,64,901704
189,amy,39,909114
190,an,15,911979
191,ana,16,915051
192,anabel,35,921806
193,analisa,57,932864
194,anamaria,58,944174
195,anastacia,69,957698
196,anastasia,85,974443
197,andera,43,982957
198,anderson,90,1000867
199,andra,38,1008467
200,andre,42,1016909
201,andrea,43,1025595
202,andreas,62,1038181
203,andree,47,1047769
204,andres,61,1060274
205,andrew,65,1073664
206,andria,47,1083393
207,andy,44,1092545
208,anette,65,1106130
209,angel,39,1114320
210,angela,40,1122760
211,angele,44,1132088
212,angelena,59,1144655
213,angeles,63,1158137
214,angelia,49,1168672
215,angelic,51,1179688
216,angelica,52,1190972
217,angelika,60,1204052
218,angelina,63,1217849
219,angeline,67,1232589
220,angelique,91,1252700
221,angelita,69,1268018
222,angella,52,1279614
